Cap_puntaje,Des_puntaje,Nivel_instru,discapacidad,pea,edad,edad_cuadrado,jefe_familia,estado_conyugal,Urbana,vehiculo,sexo
19.73,9.470000000000001,Primaria incompleta,0,1,41,1681,0,0,0,1,0
10.32,28.22,Secundaria incompleta,0,1,27,729,1,1,1,1,0
0,18.01,Secundaria incompleta,0,0,56,3136,0,0,0,1,1
36.58,41.16,Educación superior,0,1,35,1225,0,0,0,1,0
36.58,39.17,Primaria incompleta,0,0,40,1600,0,1,0,1,1
32.26,40.8,Secundaria incompleta,0,0,23,529,0,1,0,0,1
44.3,47.53,Primaria incompleta,1,1,38,1444,0,1,0,1,1
39.71,40.43,Primaria incompleta,0,0,60,3600,0,1,0,0,1
25.35,35.62,Primaria completa,0,1,60,3600,1,1,1,1,0
46.17,44.21,Primaria completa,1,0,64,4096,0,0,1,1,1
38.25,39.17,Primaria incompleta,0,0,60,3600,1,0,1,0,1
0,9.470000000000001,Primaria completa,0,1,19,361,0,0,1,0,0
32.26,37.63,Secundaria incompleta,0,1,33,1089,0,0,0,0,1
34.63,38.18,Primaria incompleta,0,0,62,3844,0,1,0,0,1
29.28,32.79,Primaria completa,0,1,48,2304,1,0,0,0,1
43.28,43.49,Primaria incompleta,1,0,44,1936,1,0,0,1,1
19.73,35.62,Primaria incompleta,0,1,46,2116,1,0,1,0,0
46.17,44.44,Primaria incompleta,1,0,32,1024,1,1,0,0,1
29.28,34.79,Secundaria incompleta,0,1,52,2704,1,0,1,1,0
38.25,42.41,Secundaria incompleta,0,1,18,324,0,0,1,1,0
0,22.72,Secundaria incompleta,0,1,18,324,0,0,1,1,1
32.26,39.62,Primaria incompleta,0,0,36,1296,0,1,0,1,1
36.58,42.41,Primaria completa,0,0,65,4225,1,0,1,1,0
25.35,9.470000000000001,Sin nivel de instrucción,0,1,45,2025,1,1,1,1,0
25.35,32.79,Primaria completa,0,0,58,3364,1,0,1,1,1
19.73,18.01,Primaria incompleta,0,1,30,900,0,1,1,0,0
19.73,33.86,Primaria completa,0,0,41,1681,0,1,0,1,1
19.73,33.86,Secundaria completa,0,1,32,1024,0,0,1,0,0
54.68,37.63,Primaria completa,1,0,51,2601,0,1,0,1,1
29.28,31.54,Secundaria incompleta,0,0,56,3136,1,0,1,0,1
32.26,25.88,Primaria completa,0,1,45,2025,1,1,0,1,0
53.96,51.8,Primaria incompleta,1,1,27,729,0,0,0,1,0
38.25,40.8,Primaria completa,0,0,28,784,0,0,0,0,1
0,25.88,Secundaria incompleta,0,1,21,441,0,0,1,0,0
34.63,35.62,Sin nivel de instrucción,0,1,42,1764,1,1,0,0,0
0,18.01,Secundaria completa,0,1,33,1089,1,1,1,0,0
0,32.79,Primaria completa,0,0,64,4096,0,1,1,1,1
44.3,43.98,Primaria completa,1,1,60,3600,0,1,0,1,1
19.73,30.05,Sin nivel de instrucción,0,0,30,900,0,1,0,1,1
25.35,40.04,Primaria completa,0,0,50,2500,0,1,1,0,1
47.04,47.7,Secundaria incompleta,1,1,46,2116,1,1,0,0,1
10.32,38.7,Primaria completa,0,1,18,324,0,0,0,0,0
25.35,31.54,Primaria incompleta,0,1,34,1156,1,1,0,0,0
39.71,41.16,Sin nivel de instrucción,0,0,38,1444,0,1,0,0,1
32.26,41.49,Sin nivel de instrucción,0,0,38,1444,0,1,0,0,0
19.73,25.88,Secundaria incompleta,0,1,50,2500,1,1,1,0,0
36.58,36.36,Primaria incompleta,0,1,47,2209,1,0,1,1,1
0,0,Primaria completa,0,0,56,3136,0,0,0,0,1
0,0,Primaria completa,0,1,46,2116,1,1,0,0,0
63.42,48.2,Primaria incompleta,1,0,43,1849,0,0,0,0,1
0,22.72,Secundaria incompleta,0,0,18,324,0,1,0,0,1
46.17,50.56,Primaria incompleta,1,0,29,841,1,1,0,0,1
41.01,46.28,Sin nivel de instrucción,1,0,62,3844,0,1,1,0,1
38.25,40.8,Primaria completa,0,0,58,3364,1,0,0,1,1
29.28,34.79,Primaria incompleta,0,0,21,441,0,1,1,0,1
10.32,25.88,Primaria completa,0,0,47,2209,1,0,1,1,1
0,9.470000000000001,Primaria incompleta,0,1,34,1156,0,1,0,0,0
39.71,47.86,Primaria completa,0,0,60,3600,1,0,1,0,1
50.26,49.32,Primaria incompleta,1,0,30,900,0,1,0,0,1
36.58,44.66,Secundaria incompleta,0,1,41,1681,1,0,1,1,1
25.35,33.86,Primaria incompleta,0,0,44,1936,0,1,0,1,1
0,22.72,Secundaria completa,0,1,58,3364,1,0,1,0,1
51.02,48.03,Secundaria incompleta,1,0,31,961,0,1,0,0,1
10.32,22.72,Secundaria completa,0,0,24,576,0,1,0,0,1
0,22.72,Primaria completa,0,0,34,1156,0,1,0,1,1
36.58,34.79,Primaria completa,0,1,50,2500,1,1,0,0,0
0,9.470000000000001,Primaria incompleta,0,0,22,484,1,1,0,1,1
19.73,31.54,Primaria incompleta,0,1,38,1444,1,1,0,1,0
43.28,44.66,Primaria incompleta,1,0,32,1024,0,1,1,0,1
10.32,35.62,Secundaria incompleta,0,0,32,1024,0,1,0,0,1
0,22.72,Secundaria completa,0,1,39,1521,1,1,1,0,0
19.73,32.79,Primaria completa,0,1,40,1600,1,0,0,1,1
10.32,0,Primaria incompleta,0,0,62,3844,0,1,0,1,1
41.01,40.43,Primaria incompleta,1,0,21,441,0,0,1,0,0
41.01,47.18,Primaria completa,1,1,28,784,1,1,1,1,1
42.19,44.44,Secundaria completa,1,0,31,961,0,1,0,1,1
19.73,25.88,Primaria completa,0,1,50,2500,1,1,0,1,0
0,0,Primaria incompleta,0,1,54,2916,1,1,0,0,0
34.63,41.81,Primaria completa,0,1,54,2916,1,1,1,0,0
29.28,40.04,Primaria completa,0,1,62,3844,1,1,0,1,0
0,9.470000000000001,Secundaria incompleta,0,1,23,529,0,0,0,0,0
53.24,50.25,Secundaria incompleta,1,0,63,3969,0,0,1,0,1
10.32,30.05,Primaria incompleta,0,0,39,1521,0,1,0,0,1
42.19,38.18,Secundaria completa,1,0,35,1225,0,1,0,0,1
29.28,44.44,Primaria incompleta,0,0,65,4225,0,1,0,1,1
39.71,46.09,Secundaria incompleta,0,0,19,361,0,0,0,1,0
10.32,32.79,Primaria completa,0,0,52,2704,0,0,1,0,1
10.32,28.22,Primaria completa,0,1,27,729,0,0,1,1,0
45.26,40.43,Secundaria incompleta,1,0,44,1936,0,1,1,0,1
19.73,9.470000000000001,Primaria incompleta,0,0,38,1444,0,0,0,0,1
0,25.88,Primaria incompleta,0,0,41,1681,0,1,1,0,1
25.35,43.74,Primaria completa,0,0,62,3844,0,1,0,0,1
50.26,50.4,Sin nivel de instrucción,1,0,42,1764,0,1,0,1,1
45.26,35.62,Secundaria incompleta,1,1,61,3721,1,0,1,0,1
36.58,42.41,Primaria incompleta,0,0,62,3844,0,1,0,0,1
38.25,40.43,Primaria incompleta,0,1,36,1296,0,1,0,0,1
34.63,40.04,Primaria completa,0,1,45,2025,0,1,1,0,1
10.32,30.05,Sin nivel de instrucción,0,1,43,1849,1,1,1,0,1
0,31.54,Secundaria incompleta,0,1,51,2601,1,1,1,1,0
25.35,31.54,Primaria incompleta,0,0,33,1089,0,1,0,1,1
32.26,43.74,Primaria incompleta,0,1,33,1089,0,1,1,0,1
50.26,49.63,Primaria completa,1,0,30,900,1,0,1,0,1
41.01,36.36,Secundaria incompleta,1,1,29,841,1,0,1,0,1
19.73,32.79,Primaria incompleta,0,1,63,3969,1,1,0,0,0
19.73,32.79,Primaria incompleta,0,0,28,784,1,1,0,0,0
0,22.72,Sin nivel de instrucción,0,1,49,2401,0,0,0,1,0
19.73,33.86,Primaria completa,0,0,43,1849,0,1,0,1,1
25.35,33.86,Primaria incompleta,0,1,55,3025,1,1,1,1,0
43.28,49.16,Primaria incompleta,1,1,40,1600,1,1,0,1,0
19.73,35.62,Primaria incompleta,0,1,53,2809,0,1,0,1,1
10.32,22.72,Primaria completa,0,1,22,484,0,0,0,0,0
0,9.470000000000001,Secundaria incompleta,0,1,27,729,0,1,0,1,0
32.26,30.05,Primaria completa,0,1,26,676,1,1,0,1,0
19.73,18.01,Primaria completa,0,1,36,1296,0,0,0,1,0
25.35,35.62,Secundaria completa,0,1,46,2116,0,0,0,1,0
10.32,9.470000000000001,Secundaria incompleta,0,0,22,484,0,1,0,1,1
10.32,18.01,Primaria incompleta,0,0,36,1296,0,1,0,0,1
29.28,30.05,Secundaria incompleta,0,0,18,324,0,0,1,0,0
10.32,22.72,Secundaria incompleta,0,1,30,900,0,0,0,1,0
39.71,42.12,Secundaria completa,0,1,22,484,0,0,0,1,1
25.35,37.63,Educación superior,0,0,58,3364,0,1,1,1,1
36.58,36.36,Secundaria incompleta,0,0,49,2401,0,1,0,1,1
41.01,40.04,Sin nivel de instrucción,1,0,36,1296,0,1,1,1,1
32.26,37.63,Primaria completa,0,0,32,1024,0,1,0,0,1
43.28,46.09,Primaria incompleta,1,0,49,2401,1,1,0,1,1
19.73,38.18,Primaria completa,0,1,56,3136,0,0,1,0,1
10.32,22.72,Educación superior,0,1,40,1600,0,0,1,1,1
32.26,38.7,Secundaria completa,0,1,61,3721,1,1,1,0,0
32.26,41.81,Primaria completa,0,1,55,3025,1,1,0,0,0
0,0,Secundaria incompleta,0,0,18,324,0,0,1,0,1
42.19,44.44,Secundaria incompleta,1,1,28,784,0,1,1,1,0
25.35,30.05,Primaria incompleta,0,1,30,900,1,1,1,1,0
34.63,35.62,Sin nivel de instrucción,0,0,46,2116,1,0,1,0,1
